Entity,Code,Year,‘cost of basic needs’ approach - number above poverty line,525240-annotations,‘cost of basic needs’ approach - number below poverty line,525235-annotations
Western Europe,,1952,246540144,,62425919,
Western Europe,,1953,253315374,,57601606,
Western Europe,,1954,260155870,,52688312,
Western Europe,,1955,271258563,,43604043,
Western Europe,,1956,280191714,,36841617,
Western Europe,,1957,284110214,,35169103,
Western Europe,,1958,283976184,,37646428,
Western Europe,,1959,288121737,,36022478,
Western Europe,,1960,289848225,,36834966,
Western Europe,,1961,298985665,,30485813,
Western Europe,,1962,309839085,,22886015,
Western Europe,,1963,314960474,,20692472,
Western Europe,,1964,317982008,,20552012,
Western Europe,,1965,325810936,,15513266,
Western Europe,,1966,331169881,,12728648,
Western Europe,,1967,334682081,,11416816,
Western Europe,,1968,335239140,,12875146,
Western Europe,,1969,343380493,,7062239,
Western Europe,,1970,345421240,,7320881,
Western Europe,,1971,349719033,,5495372,
Western Europe,,1972,354005564,,3360107,
Western Europe,,1973,356964124,,2386676,
Western Europe,,1974,358741919,,2253909,
Western Europe,,1975,360676159,,1636428,
Western Europe,,1976,362233799,,1107129,
Western Europe,,1977,363445791,,1000449,
Western Europe,,1978,364842224,,712070,
Western Europe,,1979,365932489,,772967,
Western Europe,,1980,367612236,,454167,
Western Europe,,1981,368823189,,433600,
Western Europe,,1982,369587966,,395117,
Western Europe,,1983,370142347,,397758,
Western Europe,,1984,370638217,,493710,
Western Europe,,1985,371366473,,427356,
Western Europe,,1986,372215241,,431163,
Western Europe,,1987,373220001,,321405,
Western Europe,,1988,374494702,,268828,
Western Europe,,1989,376398765,,242522,
Western Europe,,1990,378251235,,307918,
Western Europe,,1991,379752608,,642540,
Western Europe,,1992,381865481,,507064,
Western Europe,,1993,383542171,,586503,
Western Europe,,1994,384943432,,592998,
Western Europe,,1995,386162734,,607046,
Western Europe,,1996,387410809,,493421,
Western Europe,,1997,388547165,,394590,
Western Europe,,1998,389621375,,359675,
Western Europe,,1999,390902193,,308161,
Western Europe,,2000,392432363,,305250,
Western Europe,,2001,394155438,,336246,
Western Europe,,2002,396069012,,317548,
Western Europe,,2003,396129864,,2244300,
Western Europe,,2004,397663359,,2862592,
Western Europe,,2005,400058074,,2652443,
Western Europe,,2006,402505759,,2307154,
Western Europe,,2007,404924015,,2238264,
Western Europe,,2008,406935574,,2571620,
Western Europe,,2009,408431889,,2889206,
Western Europe,,2010,409663662,,3219152,
Western Europe,,2011,410941756,,3547504,
Western Europe,,2012,412531110,,3563477,
Western Europe,,2013,414058432,,3648840,
Western Europe,,2014,415813989,,3512031,
Western Europe,,2015,416533765,,4400886,
Western Europe,,2016,418201210,,4307817,
Western Europe,,2017,416964033,,4273923,
Western Europe,,2018,418370862,,4280322,
Western Offshoots,,1820,5098749,,6132251,
Western Offshoots,,1821,5368580,,6212419,
Western Offshoots,,1822,5696084,,6245915,
Western Offshoots,,1823,5883455,,6418544,
Western Offshoots,,1824,6229389,,6436610,
Western Offshoots,,1825,6565528,,6461473,
Western Offshoots,,1826,6843123,,6542877,
Western Offshoots,,1827,7111501,,6630500,
Western Offshoots,,1828,7369224,,6735775,
Western Offshoots,,1829,7468224,,6997776,
Western Offshoots,,1830,8108258,,6730742,
Western Offshoots,,1831,8754938,,6556061,
Western Offshoots,,1832,9298091,,6486909,
Western Offshoots,,1833,9848709,,6414291,
Western Offshoots,,1834,9959920,,6777080,
Western Offshoots,,1835,10582356,,6627643,
Western Offshoots,,1836,11051184,,6635816,
Western Offshoots,,1837,11258880,,6903121,
Western Offshoots,,1838,11598222,,7047778,
Western Offshoots,,1839,12291857,,6837143,
Western Offshoots,,1840,12430625,,7200375,
Western Offshoots,,1841,12811414,,7540587,
Western Offshoots,,1842,13285854,,7775145,
Western Offshoots,,1843,14004837,,7755162,
Western Offshoots,,1844,15025423,,7436578,
Western Offshoots,,1845,15761371,,7406628,
Western Offshoots,,1846,16444558,,7426442,
Western Offshoots,,1847,17324396,,7252602,
Western Offshoots,,1848,18214039,,7073963,
Western Offshoots,,1849,18663449,,7356549,
Western Offshoots,,1850,19369545,,7390456,
Western Offshoots,,1851,20182991,,7389011,
Western Offshoots,,1852,21195009,,7384991,
Western Offshoots,,1853,22422014,,7276985,
Western Offshoots,,1854,22887321,,7736680,
Western Offshoots,,1855,23198135,,8454865,
Western Offshoots,,1856,23966367,,8703635,
Western Offshoots,,1857,24213211,,9479790,
Western Offshoots,,1858,24669932,,10037066,
Western Offshoots,,1859,25485145,,10198854,
Western Offshoots,,1860,26187602,,10478398,
Western Offshoots,,1861,26246906,,11145095,
Western Offshoots,,1862,26970403,,11367595,
Western Offshoots,,1863,28102780,,11194220,
Western Offshoots,,1864,28957243,,11311758,
Western Offshoots,,1865,28763399,,12485600,
Western Offshoots,,1866,29125006,,13089994,
Western Offshoots,,1867,30047843,,13122158,
Western Offshoots,,1868,30682951,,13464049,
Western Offshoots,,1869,31532484,,13588516,
Western Offshoots,,1870,31760133,,14327866,
Western Offshoots,,1871,32743579,,14136421,
Western Offshoots,,1872,34502119,,13545879,
Western Offshoots,,1873,36234025,,12986974,
Western Offshoots,,1874,37316640,,13096361,
Western Offshoots,,1875,37732677,,13863323,
Western Offshoots,,1876,38981491,,13796508,
Western Offshoots,,1877,40166241,,13787761,
Western Offshoots,,1878,42039949,,13095053,
Western Offshoots,,1879,45137183,,11195815,
Western Offshoots,,1880,46954192,,10604807,
Western Offshoots,,1881,49769620,,9232383,
Western Offshoots,,1882,51460031,,8972968,
Western Offshoots,,1883,53026561,,8865438,
Western Offshoots,,1884,54210812,,9155189,
Western Offshoots,,1885,54945744,,9863255,
Western Offshoots,,1886,56748185,,9493812,
Western Offshoots,,1887,58956660,,8726344,
Western Offshoots,,1888,61009821,,8116181,
Western Offshoots,,1889,62159972,,8399030,
Western Offshoots,,1890,64573636,,7418365,
Western Offshoots,,1891,65741891,,7712110,
Western Offshoots,,1892,67249967,,7654029,
Western Offshoots,,1893,67233498,,9108499,
Western Offshoots,,1894,67357726,,10421277,
Western Offshoots,,1895,70174241,,9040761,
Western Offshoots,,1896,70813265,,9836739,
Western Offshoots,,1897,72389074,,9700923,
Western Offshoots,,1898,74916896,,8610102,
Western Offshoots,,1899,76922318,,8036678,
Western Offshoots,,1900,78590169,,7805826,
Western Offshoots,,1901,80696577,,7346422,
Western Offshoots,,1902,82511492,,7301503,
Western Offshoots,,1903,84082264,,7439735,
Western Offshoots,,1904,85223931,,8094065,
Western Offshoots,,1905,88078005,,7158000,
Western Offshoots,,1906,90300843,,6759150,
Western Offshoots,,1907,92476156,,6554842,
Western Offshoots,,1908,92884429,,8176567,
Western Offshoots,,1909,95244777,,7895217,
Western Offshoots,,1910,96931564,,8443433,
Western Offshoots,,1911,99539452,,7671550,
Western Offshoots,,1912,102392241,,6665761,
Western Offshoots,,1913,105337487,,6063517,
Western Offshoots,,1914,107001012,,6672991,
Western Offshoots,,1915,109698615,,5556384,
Western Offshoots,,1916,113300021,,3387994,
Western Offshoots,,1917,115535593,,2660389,
Western Offshoots,,1918,117597325,,1922667,
Western Offshoots,,1919,117406195,,3002799,
Western Offshoots,,1920,118571906,,3706106,
Western Offshoots,,1921,119637528,,5090482,
Western Offshoots,,1922,121580753,,4940245,
Western Offshoots,,1923,124320050,,4345949,
Western Offshoots,,1924,126250846,,4870147,
Western Offshoots,,1925,126601392,,6556603,
Western Offshoots,,1926,128335304,,6710705,
Western Offshoots,,1927,131107616,,5924375,
Western Offshoots,,1928,132857247,,5978755,
Western Offshoots,,1929,135193638,,5223370,
Western Offshoots,,1930,136574840,,5543154,
Western Offshoots,,1931,137523392,,5807613,
Western Offshoots,,1932,139375323,,4960677,
Western Offshoots,,1933,133223001,,12046997,
Western Offshoots,,1934,135572898,,10669104,
Western Offshoots,,1935,138483808,,8805184,
Western Offshoots,,1936,142517722,,5762274,
Western Offshoots,,1937,144665233,,4567782,
Western Offshoots,,1938,147635684,,2800295,
Western Offshoots,,1939,148928293,,2778712,
Western Offshoots,,1940,151465815,,1537211,
Western Offshoots,,1941,153070331,,1409619,
Western Offshoots,,1942,155079910,,1087158,
Western Offshoots,,1943,157296716,,959248,
Western Offshoots,,1944,159337682,,830310,
Western Offshoots,,1945,161503999,,450921,
Western Offshoots,,1946,162717634,,1089436,
Western Offshoots,,1947,164915928,,2048035,
Western Offshoots,,1948,168635918,,1295101,
Western Offshoots,,1949,171626230,,1402766,
Western Offshoots,,1950,175436473,,1301316,
Western Offshoots,,1951,179050953,,900415,
Western Offshoots,,1952,182977047,,336479,
Western Offshoots,,1953,185852367,,712435,
Western Offshoots,,1954,189195180,,921691,
Western Offshoots,,1955,193282790,,414165,
Western Offshoots,,1956,196984767,,351404,
Western Offshoots,,1957,200826132,,425226,
Western Offshoots,,1958,204472555,,390793,
Western Offshoots,,1959,208196508,,298307,
Western Offshoots,,1960,211926596,,83518,
Western Offshoots,,1961,215271405,,432979,
Western Offshoots,,1962,218812443,,353162,
Western Offshoots,,1963,222257735,,237328,
Western Offshoots,,1964,225556053,,233498,
Western Offshoots,,1965,228657487,,186774,
Western Offshoots,,1966,231606610,,147619,
Western Offshoots,,1967,234530789,,16268,
Western Offshoots,,1968,237115026,,25797,
Western Offshoots,,1969,239724754,,13786,
Western Offshoots,,1970,242714882,,3801,
Western Offshoots,,1971,245983190,,4461,
Western Offshoots,,1972,248751433,,16628,
Western Offshoots,,1973,251313626,,17898,
Western Offshoots,,1974,253889452,,11512,
Western Offshoots,,1975,256581701,,13035,
Western Offshoots,,1976,259133960,,16332,
Western Offshoots,,1977,261823658,,8369,
Western Offshoots,,1978,264575227,,12171,
Western Offshoots,,1979,265745291,,1739955,
Western Offshoots,,1980,268936228,,1747662,
Western Offshoots,,1981,271795616,,1771564,
Western Offshoots,,1982,274777648,,1600047,
Western Offshoots,,1983,277440285,,1553834,
Western Offshoots,,1984,279955034,,1545506,
Western Offshoots,,1985,282531258,,1556343,
Western Offshoots,,1986,285244560,,1530575,
Western Offshoots,,1987,287996270,,1545028,
Western Offshoots,,1988,290844741,,1549620,
Western Offshoots,,1989,293960250,,1555272,
Western Offshoots,,1990,297472884,,1572759,
Western Offshoots,,1991,301448321,,1592396,
Western Offshoots,,1992,305443116,,1833405,
Western Offshoots,,1993,309262208,,2079240,
Western Offshoots,,1994,312804979,,2363536,
Western Offshoots,,1995,316482247,,2468918,
Western Offshoots,,1996,320225184,,2473630,
Western Offshoots,,1997,323286016,,3228002,
Western Offshoots,,1998,326957842,,3263503,
Western Offshoots,,1999,330587908,,3336215,
Western Offshoots,,2000,334258212,,3330468,
Western Offshoots,,2001,337422743,,3543427,
Western Offshoots,,2002,340419630,,3785997,
Western Offshoots,,2003,343214564,,4030295,
Western Offshoots,,2004,346328063,,4150602,
Western Offshoots,,2005,349631425,,4099758,
Western Offshoots,,2006,353017901,,4157331,
Western Offshoots,,2007,356426850,,4192974,
Western Offshoots,,2008,359881442,,4186251,
Western Offshoots,,2009,362554545,,4768894,
Western Offshoots,,2010,365375985,,5097705,
Western Offshoots,,2011,368195406,,5222215,
Western Offshoots,,2012,371025621,,5348475,
Western Offshoots,,2013,373846907,,5476160,
Western Offshoots,,2014,377230836,,5010358,
Western Offshoots,,2015,379985162,,5325226,
Western Offshoots,,2016,382842629,,5646032,
Western Offshoots,,2017,386264172,,5848397,
Western Offshoots,,2018,388938619,,5889026,
World,OWID_WRL,1820,243803088,,757304073,
World,OWID_WRL,1821,247781046,,760697059,
World,OWID_WRL,1822,249637425,,766207821,
World,OWID_WRL,1823,252695845,,770555161,
World,OWID_WRL,1824,256183163,,774533657,
World,OWID_WRL,1825,257910061,,780255456,
World,OWID_WRL,1826,260211651,,785413572,
World,OWID_WRL,1827,262772195,,790222053,
World,OWID_WRL,1828,265337663,,795014066,
World,OWID_WRL,1829,267905224,,799852648,
World,OWID_WRL,1830,269374735,,805955154,
World,OWID_WRL,1831,270714110,,809697637,
World,OWID_WRL,1832,272376562,,813007853,
World,OWID_WRL,1833,273798664,,816527529,
World,OWID_WRL,1834,276173574,,819032243,
World,OWID_WRL,1835,279836043,,820692203,
World,OWID_WRL,1836,280195469,,825369173,
World,OWID_WRL,1837,280731952,,829791204,
World,OWID_WRL,1838,283409027,,832316225,
World,OWID_WRL,1839,283924531,,836979033,
World,OWID_WRL,1840,284553870,,841569523,
World,OWID_WRL,1841,287339687,,843850582,
World,OWID_WRL,1842,287303326,,848899286,
World,OWID_WRL,1843,288898750,,852312188,
World,OWID_WRL,1844,292523260,,853891128,
World,OWID_WRL,1845,296052206,,855463817,
World,OWID_WRL,1846,296203444,,860141234,
World,OWID_WRL,1847,298039427,,862394855,
World,OWID_WRL,1848,300360544,,863565012,
World,OWID_WRL,1849,304469829,,863569165,
World,OWID_WRL,1850,307043816,,865185069,
World,OWID_WRL,1851,312288085,,860813337,
World,OWID_WRL,1852,314985408,,859877234,
World,OWID_WRL,1853,315986540,,860461903,
World,OWID_WRL,1854,316374848,,861732596,
World,OWID_WRL,1855,317702315,,862201138,
World,OWID_WRL,1856,318675547,,863555980,
World,OWID_WRL,1857,323373343,,860992286,
World,OWID_WRL,1858,324899499,,861559451,
World,OWID_WRL,1859,328164043,,860432802,
World,OWID_WRL,1860,332826329,,858081160,
World,OWID_WRL,1861,332981455,,861436541,
World,OWID_WRL,1862,333240269,,865386637,
World,OWID_WRL,1863,340674450,,861985283,
World,OWID_WRL,1864,344969606,,861415061,
World,OWID_WRL,1865,339739695,,871303274,
World,OWID_WRL,1866,341321613,,873458313,
World,OWID_WRL,1867,342170619,,875798473,
World,OWID_WRL,1868,347105705,,874279588,
World,OWID_WRL,1869,349520850,,876682568,
World,OWID_WRL,1870,351994421,,882952391,
World,OWID_WRL,1871,357933800,,883372221,
World,OWID_WRL,1872,371136231,,877577050,
World,OWID_WRL,1873,378724904,,877755522,
World,OWID_WRL,1874,385748713,,878704194,
World,OWID_WRL,1875,395070792,,877044682,
World,OWID_WRL,1876,399847801,,880408050,
World,OWID_WRL,1877,406593967,,882040015,
World,OWID_WRL,1878,413605157,,883153787,
World,OWID_WRL,1879,421078976,,883838441,
World,OWID_WRL,1880,437832347,,874444635,
World,OWID_WRL,1881,443007678,,880498665,
World,OWID_WRL,1882,456084641,,877840814,
World,OWID_WRL,1883,459030645,,886087375,
World,OWID_WRL,1884,463296033,,893546949,
World,OWID_WRL,1885,476136746,,891104903,
World,OWID_WRL,1886,478125800,,900611195,
World,OWID_WRL,1887,501318681,,887497876,
World,OWID_WRL,1888,514733450,,885876048,
World,OWID_WRL,1889,519356510,,893803339,
World,OWID_WRL,1890,541017116,,882298209,
World,OWID_WRL,1891,522970929,,911433754,
World,OWID_WRL,1892,544700203,,899167844,
World,OWID_WRL,1893,556239137,,897186567,
World,OWID_WRL,1894,569884279,,893538160,
World,OWID_WRL,1895,574007647,,901440518,
World,OWID_WRL,1896,569219339,,917207764,
World,OWID_WRL,1897,604588852,,892996992,
World,OWID_WRL,1898,620861400,,888193216,
World,OWID_WRL,1899,609946784,,911466720,
World,OWID_WRL,1900,616991132,,915663861,
World,OWID_WRL,1901,635973644,,939774148,
World,OWID_WRL,1902,662649315,,927168430,
World,OWID_WRL,1903,676216339,,929013855,
World,OWID_WRL,1904,681725924,,938036107,
World,OWID_WRL,1905,683653154,,952191996,
World,OWID_WRL,1906,700162657,,951451649,
World,OWID_WRL,1907,690680784,,977629267,
World,OWID_WRL,1908,694742354,,988042818,
World,OWID_WRL,1909,736320459,,961464939,
World,OWID_WRL,1910,745305094,,967486374,
World,OWID_WRL,1911,749623661,,981877966,
World,OWID_WRL,1912,770327404,,976896047,
World,OWID_WRL,1913,781648402,,982010008,
World,OWID_WRL,1914,789240787,,988567561,
World,OWID_WRL,1915,788729981,,1000479201,
World,OWID_WRL,1916,800564998,,1001161621,
World,OWID_WRL,1917,790258727,,1023418739,
World,OWID_WRL,1918,732579498,,1095779723,
World,OWID_WRL,1919,763450791,,1071378117,
World,OWID_WRL,1920,754537343,,1095288807,
World,OWID_WRL,1921,764829815,,1092746937,
World,OWID_WRL,1922,797000306,,1074737757,
World,OWID_WRL,1923,805473437,,1081986673,
World,OWID_WRL,1924,838346299,,1065667253,
World,OWID_WRL,1925,864253762,,1056580150,
World,OWID_WRL,1926,887338378,,1051864597,
World,OWID_WRL,1927,901165432,,1057576971,
World,OWID_WRL,1928,927252756,,1051062339,
World,OWID_WRL,1929,948553518,,1048028379,
World,OWID_WRL,1930,953763156,,1061281120,
World,OWID_WRL,1931,954266855,,1082921255,
World,OWID_WRL,1932,963729992,,1095370088,
World,OWID_WRL,1933,954242249,,1123960340,
World,OWID_WRL,1934,975049673,,1122582127,
World,OWID_WRL,1935,1003889355,,1113891284,
World,OWID_WRL,1936,1033178452,,1104096701,
World,OWID_WRL,1937,1040902235,,1118538458,
World,OWID_WRL,1938,1051357980,,1132501219,
World,OWID_WRL,1939,1077191924,,1131404391,
World,OWID_WRL,1940,1092678427,,1141090128,
World,OWID_WRL,1941,1104264086,,1142923622,
World,OWID_WRL,1942,1099037320,,1163864409,
World,OWID_WRL,1943,1112197696,,1164030645,
World,OWID_WRL,1944,1070712187,,1218653639,
World,OWID_WRL,1945,1033247414,,1267347796,
World,OWID_WRL,1946,1017481889,,1296880629,
World,OWID_WRL,1947,1020381254,,1245011194,
World,OWID_WRL,1948,1063504064,,1227541655,
World,OWID_WRL,1949,1101771662,,1221011915,
World,OWID_WRL,1950,1184319257,,1342596850,
World,OWID_WRL,1951,1224951954,,1345434326,
World,OWID_WRL,1952,1253559895,,1364512838,
World,OWID_WRL,1953,1301633989,,1365249844,
World,OWID_WRL,1954,1331543009,,1385728716,
World,OWID_WRL,1955,1408516311,,1361255697,
World,OWID_WRL,1956,1478166849,,1346672399,
World,OWID_WRL,1957,1509286755,,1373539948,
World,OWID_WRL,1958,1545887939,,1395537454,
World,OWID_WRL,1959,1586736916,,1410794033,
World,OWID_WRL,1960,1596604176,,1445371733,
World,OWID_WRL,1961,1638038936,,1443316005,
World,OWID_WRL,1962,1690734081,,1446878784,
World,OWID_WRL,1963,1773180772,,1428278624,
World,OWID_WRL,1964,1756569413,,1508714492,
World,OWID_WRL,1965,1766549994,,1565146365,
World,OWID_WRL,1966,1823946436,,1577201918,
World,OWID_WRL,1967,1891522014,,1577532705,
World,OWID_WRL,1968,1901341760,,1637404079,
World,OWID_WRL,1969,1973328531,,1637640470,
World,OWID_WRL,1970,2040668605,,1644200125,
World,OWID_WRL,1971,2104982979,,1660522946,
World,OWID_WRL,1972,2164438745,,1677575147,
World,OWID_WRL,1973,2237478350,,1680803352,
World,OWID_WRL,1974,2302575097,,1689409302,
World,OWID_WRL,1975,2379392944,,1688431539,
World,OWID_WRL,1976,2471985645,,1669132079,
World,OWID_WRL,1977,2552243823,,1663979640,
World,OWID_WRL,1978,2645610510,,1643165913,
World,OWID_WRL,1979,2778269688,,1589985436,
World,OWID_WRL,1980,2945093756,,1507510275,
World,OWID_WRL,1981,2940755942,,1577752097,
World,OWID_WRL,1982,2953461848,,1639232455,
World,OWID_WRL,1983,3017820540,,1663478369,
World,OWID_WRL,1984,3123611389,,1638872585,
World,OWID_WRL,1985,3245508064,,1598589978,
World,OWID_WRL,1986,3275033460,,1647134025,
World,OWID_WRL,1987,3295353328,,1706057502,
World,OWID_WRL,1988,3303908487,,1780158014,
World,OWID_WRL,1989,3433945729,,1745873876,
World,OWID_WRL,1990,3647271374,,1627883538,
World,OWID_WRL,1991,3595279724,,1756730531,
World,OWID_WRL,1992,3578701872,,1868217124,
World,OWID_WRL,1993,3581640231,,1948601882,
World,OWID_WRL,1994,3584962740,,2014189219,
World,OWID_WRL,1995,3647951883,,2035469812,
World,OWID_WRL,1996,3906876120,,1868949361,
World,OWID_WRL,1997,4161608842,,1696955336,
World,OWID_WRL,1998,4063306363,,1876418057,
World,OWID_WRL,1999,4314863533,,1710476055,
World,OWID_WRL,2000,4577017727,,1552817573,
World,OWID_WRL,2001,4761850068,,1438200112,
World,OWID_WRL,2002,4899625485,,1365829628,
World,OWID_WRL,2003,4983172487,,1372315402,
World,OWID_WRL,2004,4982769430,,1431069555,
World,OWID_WRL,2005,5246975197,,1271264985,
World,OWID_WRL,2006,5360820520,,1225505908,
World,OWID_WRL,2007,5503753294,,1175796879,
World,OWID_WRL,2008,5532595786,,1239670157,
World,OWID_WRL,2009,5675008777,,1183497271,
World,OWID_WRL,2010,5762642677,,1177604043,
World,OWID_WRL,2011,5917747778,,1126119387,
World,OWID_WRL,2012,5983558141,,1134070863,
World,OWID_WRL,2013,6221809443,,988046530,
World,OWID_WRL,2014,6400872038,,909865159,
World,OWID_WRL,2015,6541377278,,907145147,
World,OWID_WRL,2016,6684791657,,851993182,
World,OWID_WRL,2017,6878779571,,840398380,
World,OWID_WRL,2018,7042480523,,783759875,
